"Title","City","County","State","Group","Ideology","Year","City_State_HG"
"Aryan Nations/Aryan National Alliance","Hutchinson","Reno","Kansas","","Neo-Nazi",2000,"Hutchinson, Kansas"
"Aryan Nations/Aryan National Alliance","Kissimmee","Osceola","Florida","","Neo-Nazi",2000,"Kissimmee, Florida"
"Aryan Nations/Aryan National Alliance","Mercer","Iron","Wisconsin","","Neo-Nazi",2000,"Mercer, Wisconsin"
"Aryan Nations/Aryan National Alliance","New Brighton","Ramsey","Minnesota","","Neo-Nazi",2000,"New Brighton, Minnesota"
"Aryan Nations/Aryan National Alliance","North Bergen","Hudson","New Jersey","","Neo-Nazi",2000,"North Bergen, New Jersey"
"Aryan Nations/Aryan National Alliance","Omaha","Douglas","Nebraska","","Neo-Nazi",2000,"Omaha, Nebraska"
"Aryan Nations/Aryan National Alliance","Reno","Washoe","Nevada","","Neo-Nazi",2000,"Reno, Nevada"
"Aryan Nations/Aryan National Alliance","Salem","Marion","Illinois","","Neo-Nazi",2000,"Salem, Illinois"
"Aryan Nations/Aryan National Alliance","St. Paul","Ramsey","Minnesota","","Neo-Nazi",2000,"St. Paul, Minnesota"
"Aryan Nations/Aryan National Alliance","Ulysses","Potter","Pennsylvania","","Neo-Nazi",2000,"Ulysses, Pennsylvania"
"Aryan Nations/Aryan National Alliance","Wantagh","Nassau","New York","","Neo-Nazi",2000,"Wantagh, New York"
"Aryan Nations/Aryan National Alliance","Wellington","Lyon","Nevada","","Neo-Nazi",2000,"Wellington, Nevada"
"Aryan Nations/Aryan National Alliance","Westwego","Jefferson","Louisiana","","Neo-Nazi",2000,"Westwego, Louisiana"
"Aryan Nations/Aryan National Alliance","Woodlawn","Montgomery","Tennessee","","Neo-Nazi",2000,"Woodlawn, Tennessee"
"Bayou Knights of the KKK","Brookhaven","Lincoln","Mississippi","","Ku Klux Klan ",2000,"Brookhaven, Mississippi"
"Bayou Knights of the KKK","Homer","Claiborne","Louisiana","","Ku Klux Klan ",2000,"Homer, Louisiana"
"By Yahweh's Design","Stevensville","Berrien","Michigan","","Christian Identity ",2000,"Stevensville, Michigan"
"Carolina Knights of the Ku Klux Klan","Spartanburg","Spartanburg","South Carolina","","Ku Klux Klan ",2000,"Spartanburg, South Carolina"
"Central New York White Pride","Syracuse","Onondaga","New York","","Neo-Nazi",2000,"Syracuse, New York"
"Christian Crusade for Truth","Deming","Luna","New Mexico","","Christian Identity ",2000,"Deming, New Mexico"
"Christian Defense League","Arabi","St. Bernard","Louisiana","","Neo-Nazi",2000,"Arabi, Louisiana"
"Christian Research","Eureka Springs","Carroll","Arkansas","","Christian Identity ",2000,"Eureka Springs, Arkansas"
"Church of Israel","Schell City","Vernon","Missouri","","Christian Identity ",2000,"Schell City, Missouri"
"Church of True Israel","Noxon","Sanders","Montana","","Christian Identity ",2000,"Noxon, Montana"
"Church of Yahshua the Christ","Wilmington","New Hanover","North Carolina","","Christian Identity ",2000,"Wilmington, North Carolina"
"Confederate Crusaders","Homer","Claiborne","Louisiana","","Ku Klux Klan ",2000,"Homer, Louisiana"
"Confederate Knights of the KKK","Forest","Bedford","Virginia","","Ku Klux Klan ",2000,"Forest, Virginia"
"Confederate Knights of the KKK","Henderson","Vance","North Carolina","","Ku Klux Klan ",2000,"Henderson, North Carolina"
"Confederate Knights of the KKK","Lexington","Fayette","Kentucky","","Ku Klux Klan ",2000,"Lexington, Kentucky"
"Confederate Knights of the KKK","Randleman","Randolph","North Carolina","","Ku Klux Klan ",2000,"Randleman, North Carolina"
"Confederate Knights of the KKK","Sandston","Henrico","Virginia","","Ku Klux Klan ",2000,"Sandston, Virginia"
"Council of Conservative Citizens","Baton Rouge","East Baton Rouge","Louisiana","Council of Conservative Citizens","White Nationalist ",2000,"Baton Rouge, Louisiana"
"Council of Conservative Citizens","Bedford","Lawrence","Indiana","Council of Conservative Citizens","White Nationalist ",2000,"Bedford, Indiana"
"Council of Conservative Citizens","Birmingham","Jefferson","Alabama","Council of Conservative Citizens","White Nationalist ",2000,"Birmingham, Alabama"
"Council of Conservative Citizens","Boynton Beach","Palm Beach","Florida","Council of Conservative Citizens","White Nationalist ",2000,"Boynton Beach, Florida"
"Council of Conservative Citizens","Calhoun City","Calhoun","Mississippi","Council of Conservative Citizens","White Nationalist ",2000,"Calhoun City, Mississippi"
"Council of Conservative Citizens","Casey Creek","Adair","Kentucky","Council of Conservative Citizens","White Nationalist ",2000,"Casey Creek, Kentucky"
"Council of Conservative Citizens","Chattanooga","Hamilton","Tennessee","Council of Conservative Citizens","White Nationalist ",2000,"Chattanooga, Tennessee"
"Council of Conservative Citizens","Chicago","Cook","Illinois","Council of Conservative Citizens","White Nationalist ",2000,"Chicago, Illinois"
"Council of Conservative Citizens","Cincinnati","Hamilton","Ohio","Council of Conservative Citizens","White Nationalist ",2000,"Cincinnati, Ohio"
"Council of Conservative Citizens","Clemmons","Forsyth","North Carolina","Council of Conservative Citizens","White Nationalist ",2000,"Clemmons, North Carolina"
"Council of Conservative Citizens","Cleveland","Bradley","Tennessee","Council of Conservative Citizens","White Nationalist ",2000,"Cleveland, Tennessee"
"Council of Conservative Citizens","Dallas","Dallas","Texas","Council of Conservative Citizens","White Nationalist ",2000,"Dallas, Texas"
"Council of Conservative Citizens","Dalton","Whitfield","Georgia","Council of Conservative Citizens","White Nationalist ",2000,"Dalton, Georgia"
"Council of Conservative Citizens","Dayton","Armstrong","Pennsylvania","Council of Conservative Citizens","White Nationalist ",2000,"Dayton, Pennsylvania"
"Council of Conservative Citizens","Dublin","Cheshire","New Hampshire","Council of Conservative Citizens","White Nationalist ",2000,"Dublin, New Hampshire"
"Council of Conservative Citizens","Falls Church","Falls Church","Virginia","Council of Conservative Citizens","White Nationalist ",2000,"Falls Church, Virginia"
"Council of Conservative Citizens","Forest City","Rutherford","North Carolina","Council of Conservative Citizens","White Nationalist ",2000,"Forest City, North Carolina"
"Council of Conservative Citizens","Hanover","Hanover","Virginia","Council of Conservative Citizens","White Nationalist ",2000,"Hanover, Virginia"
"Council of Conservative Citizens","Holly Springs","Marshall","Mississippi","Council of Conservative Citizens","White Nationalist ",2000,"Holly Springs, Mississippi"
"Council of Conservative Citizens","Huntsville","Madison","Alabama","Council of Conservative Citizens","White Nationalist ",2000,"Huntsville, Alabama"
"Council of Conservative Citizens","Jacksonville","Duval","Florida","Council of Conservative Citizens","White Nationalist ",2000,"Jacksonville, Florida"
"Council of Conservative Citizens","Jackson","Hinds","Mississippi","Council of Conservative Citizens","White Nationalist ",2000,"Jackson, Mississippi"
"Council of Conservative Citizens","Jasper","Walker","Alabama","Council of Conservative Citizens","White Nationalist ",2000,"Jasper, Alabama"
"Council of Conservative Citizens","Knoxville","Knox","Tennessee","Council of Conservative Citizens","White Nationalist ",2000,"Knoxville, Tennessee"
"Council of Conservative Citizens","Little Rock","Pulaski","Arkansas","Council of Conservative Citizens","White Nationalist ",2000,"Little Rock, Arkansas"
"Council of Conservative Citizens","Milledgeville","Baldwin","Georgia","Council of Conservative Citizens","White Nationalist ",2000,"Milledgeville, Georgia"
"Council of Conservative Citizens","Mobile","Mobile","Alabama","Council of Conservative Citizens","White Nationalist ",2000,"Mobile, Alabama"
"Council of Conservative Citizens","Morganton","Burke","North Carolina","Council of Conservative Citizens","White Nationalist ",2000,"Morganton, North Carolina"
"Council of Conservative Citizens","New York","Queens","New York","Council of Conservative Citizens","White Nationalist ",2000,"New York, New York"
"Council of Conservative Citizens","Norcross","Gwinnett","Georgia","Council of Conservative Citizens","White Nationalist ",2000,"Norcross, Georgia"
"Council of Conservative Citizens","Piney Woods","Rankin","Mississippi","Council of Conservative Citizens","White Nationalist ",2000,"Piney Woods, Mississippi"
"Council of Conservative Citizens","Portland","Cumberland","Maine","Council of Conservative Citizens","White Nationalist ",2000,"Portland, Maine"
"Council of Conservative Citizens","Sacramento","Sacramento","California","Council of Conservative Citizens","White Nationalist ",2000,"Sacramento, California"
"Council of Conservative Citizens","Saluda","Saluda","South Carolina","Council of Conservative Citizens","White Nationalist ",2000,"Saluda, South Carolina"
"Council of Conservative Citizens","St. Louis","St. Louis","Missouri","Council of Conservative Citizens","White Nationalist ",2000,"St. Louis, Missouri"
"Council of Conservative Citizens","Pinellas","Pinellas","Florida","Council of Conservative Citizens","White Nationalist ",2000,"Pinellas, Florida"
"Council of Conservative Citizens","Manatee","Manatee","Florida","Council of Conservative Citizens","White Nationalist ",2000,"Manatee, Florida"
"Council of Conservative Citizens","Hillsborough","Hillsborough","Florida","Council of Conservative Citizens","White Nationalist ",2000,"Hillsborough, Florida"
"Council of Conservative Citizens","Vaiden","Carroll","Mississippi","Council of Conservative Citizens","White Nationalist ",2000,"Vaiden, Mississippi"
"Council of Conservative Citizens","Webster","Webster","Mississippi","Council of Conservative Citizens","White Nationalist ",2000,"Webster, Mississippi"
"Crusade Against Corruption","Marietta","Cobb","Georgia","","General Hate ",2000,"Marietta, Georgia"
"Crusade for Christ","Little Rock","Pulaski","Arkansas","","Christian Identity ",2000,"Little Rock, Arkansas"
"Elohim City","Muldrow","Sequoyah","Oklahoma","","Christian Identity ",2000,"Muldrow, Oklahoma"
"Faith Baptist Church and Ministry","Houston","Texas","Missouri","","Christian Identity ",2000,"Houston, Missouri"
"Fellowship of God's Covenant People","Burlington","Boone","Kentucky","","Christian Identity ",2000,"Burlington, Kentucky"
"FreeMississippi","Aberdeen","Monroe","Mississippi","","Neo-Confederate",2000,"Aberdeen, Mississippi"
"FreeMississippi","Greenville","Washington","Mississippi","","Neo-Confederate",2000,"Greenville, Mississippi"
"FreeMississippi","Gulfport","Harrison","Mississippi","","Neo-Confederate",2000,"Gulfport, Mississippi"
"FreeMississippi","Macon","Noxubee","Mississippi","","Neo-Confederate",2000,"Macon, Mississippi"
"FreeMississippi","Mendenhall","Simpson","Mississippi","","Neo-Confederate",2000,"Mendenhall, Mississippi"
"FreeMississippi","Wiggins","Stone","Mississippi","","Neo-Confederate",2000,"Wiggins, Mississippi"
"Georgia Konfederate Knights of the Ku Klux Klan","Thomasville","Thomas","Georgia","","Ku Klux Klan ",2000,"Thomasville, Georgia"
"German American Nationalist PAC","Pensacola","Escambia","Florida","","Neo-Nazi",2000,"Pensacola, Florida"
"Gospel Broadcasting Association","Houston","Harris","Texas","","Christian Identity ",2000,"Houston, Texas"
"Gospel Ministries","Boise","Ada","Idaho","","Christian Identity ",2000,"Boise, Idaho"
"Gospel of Christ Kingdom Church","Hayden Lake","Kootenai","Idaho","","Christian Identity ",2000,"Hayden Lake, Idaho"
"Hammerskin Nation","Apple Valley","Dakota","Minnesota","","Racist Skinhead ",2000,"Apple Valley, Minnesota"
"Hammerskin Nation","Clackamas","Clackamas","Oregon","","Racist Skinhead ",2000,"Clackamas, Oregon"
"Hammerskin Nation","Dallas","Dallas","Texas","","Racist Skinhead ",2000,"Dallas, Texas"
"Hammerskin Nation","Fort Wayne","Allen","Indiana","","Racist Skinhead ",2000,"Fort Wayne, Indiana"
"Hammerskin Nation","Glendale","Maricopa","Arizona","","Racist Skinhead ",2000,"Glendale, Arizona"
"Hammerskin Nation","Hanover","York","Pennsylvania","","Racist Skinhead ",2000,"Hanover, Pennsylvania"
"Hammerskin Nation","Harrison","Hudson","New Jersey","","Racist Skinhead ",2000,"Harrison, New Jersey"
"Hammerskin Nation","Hemet","Riverside","California","","Racist Skinhead ",2000,"Hemet, California"
"Hammerskin Nation","Hiram","Paulding","Georgia","","Racist Skinhead ",2000,"Hiram, Georgia"
"Hammerskin Nation","Jacksonville","Duval","Florida","","Racist Skinhead ",2000,"Jacksonville, Florida"
"Hammerskin Nation","Las Vegas","Clark","Nevada","","Racist Skinhead ",2000,"Las Vegas, Nevada"
"Hammerskin Nation","Mesa","Maricopa","Arizona","","Racist Skinhead ",2000,"Mesa, Arizona"
"Hammerskin Nation","Riverside","Riverside","California","","Racist Skinhead ",2000,"Riverside, California"
"Hammerskin Nation","Rochester","Oakland","Michigan","","Racist Skinhead ",2000,"Rochester, Michigan"
"Hammerskin Nation","San Diego","San Diego","California","","Racist Skinhead ",2000,"San Diego, California"
"Hammerskin Nation","Springfield","Greene","Missouri","","Racist Skinhead ",2000,"Springfield, Missouri"
"Hammerskin Nation","Vancouver","Clark","Washington","","Racist Skinhead ",2000,"Vancouver, Washington"
"Hammerskin Nation","Wichita","Sedgwick","Kansas","","Racist Skinhead ",2000,"Wichita, Kansas"
"Hammerskin Nation","Wilmington","New Castle","Delaware","","Racist Skinhead ",2000,"Wilmington, Delaware"
"Heritage Lost Ministries","Hilliard","Franklin","Ohio","","General Hate ",2000,"Hilliard, Ohio"
"House of David","Atlanta","Fulton","Georgia","","",2000,"Atlanta, Georgia"
"House of David","Brockton","Plymouth","Massachusetts","","",2000,"Brockton, Massachusetts"
"House of David","Buffalo","Erie","New York","","",2000,"Buffalo, New York"
"House of David","Los Angeles","Los Angeles","California","","",2000,"Los Angeles, California"
"House of David","New York","Queens","New York","","",2000,"New York, New York"
"House of David","Boston","Suffolk","Massachusetts","","",2000,"Boston, Massachusetts"
"House of David","St. Louis","St. Louis","Missouri","","",2000,"St. Louis, Missouri"
"Imperial Klans of America Knights of the KKK","Amelia","Clermont","Ohio","","Ku Klux Klan ",2000,"Amelia, Ohio"
"Imperial Klans of America Knights of the KKK","Annapolis","Iron","Missouri","","Ku Klux Klan ",2000,"Annapolis, Missouri"
"Imperial Klans of America Knights of the KKK","Crestview","Okaloosa","Florida","","Ku Klux Klan ",2000,"Crestview, Florida"
"Imperial Klans of America Knights of the KKK","Dayton","Campbell","Kentucky","","Ku Klux Klan ",2000,"Dayton, Kentucky"
"Imperial Klans of America Knights of the KKK","Elyria","Lorain","Ohio","","Ku Klux Klan ",2000,"Elyria, Ohio"
"Imperial Klans of America Knights of the KKK","Hillview","Bullitt","Kentucky","","Ku Klux Klan ",2000,"Hillview, Kentucky"
"Imperial Klans of America Knights of the KKK","Indianapolis","Marion","Indiana","","Ku Klux Klan ",2000,"Indianapolis, Indiana"
"Imperial Klans of America Knights of the KKK","Lakin","Kearny","Kansas","","Ku Klux Klan ",2000,"Lakin, Kansas"
"Imperial Klans of America Knights of the KKK","Magnolia","Columbia","Arkansas","","Ku Klux Klan ",2000,"Magnolia, Arkansas"
"Imperial Klans of America Knights of the KKK","Mapaville","Jefferson","Missouri","","Ku Klux Klan ",2000,"Mapaville, Missouri"
"Imperial Klans of America Knights of the KKK","Nashville","Davidson","Tennessee","","Ku Klux Klan ",2000,"Nashville, Tennessee"
"Imperial Klans of America Knights of the KKK","Plainview","Yell","Arkansas","","Ku Klux Klan ",2000,"Plainview, Arkansas"
"Imperial Klans of America Knights of the KKK","Plover","Portage","Wisconsin","","Ku Klux Klan ",2000,"Plover, Wisconsin"
"Imperial Klans of America Knights of the KKK","Powderly","Muhlenberg","Kentucky","","Ku Klux Klan ",2000,"Powderly, Kentucky"
"Imperial Klans of America Knights of the KKK","Prospect Heights","Cook","Illinois","","Ku Klux Klan ",2000,"Prospect Heights, Illinois"
"Imperial Klans of America Knights of the KKK","Walkertown","Forsyth","North Carolina","","Ku Klux Klan ",2000,"Walkertown, North Carolina"
"Imperial Klans of America Knights of the KKK","Warwick","Orange","New York","","Ku Klux Klan ",2000,"Warwick, New York"
"Imperial Klans of America Knights of the KKK","Westfield","Marquette","Wisconsin","","Ku Klux Klan ",2000,"Westfield, Wisconsin"
"International Association of the Knights of the Ku Klux Klan","Enoree","Spartanburg","South Carolina","","Ku Klux Klan ",2000,"Enoree, South Carolina"
"International Keystone Knights of the KKK","Bayse","Shenandoah","Virginia","","Ku Klux Klan ",2000,"Bayse, Virginia"
"International Keystone Knights of the KKK","Franklin","Johnson","Indiana","","Ku Klux Klan ",2000,"Franklin, Indiana"
"International Keystone Knights of the KKK","Johnstown","Cambria","Pennsylvania","","Ku Klux Klan ",2000,"Johnstown, Pennsylvania"
"International Keystone Knights of the KKK","New Castle","New Castle","Delaware","","Ku Klux Klan ",2000,"New Castle, Delaware"
"International Keystone Knights of the KKK","Parkin","Cross","Arkansas","","Ku Klux Klan ",2000,"Parkin, Arkansas"
"International Keystone Knights of the KKK","Pleasant Hill","Cumberland","Tennessee","","Ku Klux Klan ",2000,"Pleasant Hill, Tennessee"
"International Keystone Knights of the KKK","Reading","Berks","Pennsylvania","","Ku Klux Klan ",2000,"Reading, Pennsylvania"
"Invisible Empire National Knights of the Ku Klux Klan","Luxora","Mississippi","Arkansas","","Ku Klux Klan ",2000,"Luxora, Arkansas"
"Invisible Empire, Pennsylvania Ku Klux Klan","Punxsutawney","Jefferson","Pennsylvania","","Ku Klux Klan ",2000,"Punxsutawney, Pennsylvania"
"Jubilee","Midpines","Mariposa","California","","Christian Identity ",2000,"Midpines, California"
"Keys to the Kingdom Church","St. Augustine","St. Johns","Florida","","Christian Identity ",2000,"St. Augustine, Florida"
"Kingdom Identity Ministries","Harrison","Boone","Arkansas","Kingdom Identity Ministries ","Christian Identity ",2000,"Harrison, Arkansas"
"Knight Riders of the KKK","Winchester","Winchester","Virginia","","Ku Klux Klan ",2000,"Winchester, Virginia"
"Knights of the Ku Klux Klan","Cleveland","Liberty","Texas","Knights of the Ku Klux Klan","Ku Klux Klan ",2000,"Cleveland, Texas"
"Knights of the Ku Klux Klan","Harrison","Boone","Arkansas","Knights of the Ku Klux Klan","Ku Klux Klan ",2000,"Harrison, Arkansas"
"Knights of the Ku Klux Klan","Sulphur Springs","Hopkins","Texas","Knights of the Ku Klux Klan","Ku Klux Klan ",2000,"Sulphur Springs, Texas"
"Knights of the Ku Klux Klan","Reading","Berks","Pennsylvania","","Ku Klux Klan ",2000,"Reading, Pennsylvania"
"Knights of the White Kamellia","Bellbrook","Greene","Ohio","","Ku Klux Klan ",2000,"Bellbrook, Ohio"
"Knights of the White Kamellia","Chesterfield","Chesterfield","Virginia","","Ku Klux Klan ",2000,"Chesterfield, Virginia"
"Knights of the White Kamellia","Dayton","Montgomery","Ohio","","Ku Klux Klan ",2000,"Dayton, Ohio"
"Knights of the White Kamellia","Jasper","Jasper","Texas","","Ku Klux Klan ",2000,"Jasper, Texas"
"Knights of the White Kamellia","Kenton","Hardin","Ohio","","Ku Klux Klan ",2000,"Kenton, Ohio"
"Knights of the White Kamellia","Leslie","Franklin","Missouri","","Ku Klux Klan ",2000,"Leslie, Missouri"
"Knights of the White Kamellia","Rushsylvania","Logan","Ohio","","Ku Klux Klan ",2000,"Rushsylvania, Ohio"
"Knights of the White Kamellia","Zanesfield","Logan","Ohio","","Ku Klux Klan ",2000,"Zanesfield, Ohio"
"Kountry Knights of the Ku Klux Klan","Jennings","Jefferson Davis","Louisiana","","Ku Klux Klan ",2000,"Jennings, Louisiana"
"League of the South","Albany","Dougherty","Georgia","League of the South","Neo-Confederate",2000,"Albany, Georgia"
"League of the South","Apopka","Orange","Florida","League of the South","Neo-Confederate",2000,"Apopka, Florida"
"League of the South","Arlington","Tarrant","Texas","League of the South","Neo-Confederate",2000,"Arlington, Texas"
"League of the South","Attalla","Etowah","Alabama","League of the South","Neo-Confederate",2000,"Attalla, Alabama"
"League of the South","Athens","Clarke","Georgia","League of the South","Neo-Confederate",2000,"Athens, Georgia"
"League of the South","Atlanta","Fulton","Georgia","League of the South","Neo-Confederate",2000,"Atlanta, Georgia"
"League of the South","Auburn","Lee","Alabama","League of the South","Neo-Confederate",2000,"Auburn, Alabama"
"League of the South","Augusta","Richmond","Georgia","League of the South","Neo-Confederate",2000,"Augusta, Georgia"
"League of the South","Austin","Travis","Texas","League of the South","Neo-Confederate",2000,"Austin, Texas"
"League of the South","Baton Rouge","East Baton Rouge","Louisiana","League of the South","Neo-Confederate",2000,"Baton Rouge, Louisiana"
"League of the South","Birmingham","Jefferson","Alabama","League of the South","Neo-Confederate",2000,"Birmingham, Alabama"
"League of the South","Brunswick","Glynn","Georgia","League of the South","Neo-Confederate",2000,"Brunswick, Georgia"
"League of the South","Buffalo","Erie","New York","League of the South","Neo-Confederate",2000,"Buffalo, New York"
"League of the South","Calcasieu","Rapides","Louisiana","League of the South","Neo-Confederate",2000,"Calcasieu, Louisiana"
"League of the South",NA,"Cecil","Maryland","League of the South","Neo-Confederate",2000,"NA, Maryland"
"League of the South","Chapel Hill","Orange","North Carolina","League of the South","Neo-Confederate",2000,"Chapel Hill, North Carolina"
"League of the South","Charlotte","Mecklenburg","North Carolina","League of the South","Neo-Confederate",2000,"Charlotte, North Carolina"
"League of the South","Columbia","Richland","South Carolina","League of the South","Neo-Confederate",2000,"Columbia, South Carolina"
"League of the South","Columbia","Boone","Missouri","League of the South","Neo-Confederate",2000,"Columbia, Missouri"
"League of the South","Conroe","Montgomery","Texas","League of the South","Neo-Confederate",2000,"Conroe, Texas"
"League of the South","Crystal River","Citrus","Florida","League of the South","Neo-Confederate",2000,"Crystal River, Florida"
"League of the South","Dayton","Rockingham","Virginia","League of the South","Neo-Confederate",2000,"Dayton, Virginia"
"League of the South","Dublin","Pulaski","Virginia","League of the South","Neo-Confederate",2000,"Dublin, Virginia"
"League of the South","Durham","Durham","North Carolina","League of the South","Neo-Confederate",2000,"Durham, North Carolina"
"League of the South","Ebro","Washington","Florida","League of the South","Neo-Confederate",2000,"Ebro, Florida"
"League of the South","Emelle","Sumter","Alabama","League of the South","Neo-Confederate",2000,"Emelle, Alabama"
"League of the South","Fayetteville","Fayette","Georgia","League of the South","Neo-Confederate",2000,"Fayetteville, Georgia"
"League of the South","Franklin","Williamson","Tennessee","League of the South","Neo-Confederate",2000,"Franklin, Tennessee"
